data_detectado;orgao;municipio;modalidade;categoria;objeto;item;descricao_item;fornecedor_vencedor;cnpj_fornecedor;valor_unitario_homologado;valor_total_homologado;id_pncp
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;1;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,0;29352,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;2;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,0;29352,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;3;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,7;31920,3;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;4;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,0;29352,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;5;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;19,7;72279,3;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;6;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,0;29352,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;7;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,0;29352,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;8;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,0;29352,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;9;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;7,99;29315,31;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;10;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,0;29352,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;11;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;31,0;42935,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;12;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;19,0;21527,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;13;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;13,0;13091,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;14;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;7,0;4851,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;15;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;8,0;2240,0;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;16;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;11,4;501,6;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;17;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;16,16;6706,4;32479123000143-1-000003/2026
2026-07-15;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;Vitória;Pregão - Eletrônico;portaria;Contratação de empresa especializada em exames laboratoriais para realização dos exames médicos periódicos na Universidade Federal do Espírito Santo, nos municípios de Vitória/ES, Alegre/ES e São Mate;18;Exame médico periódico;PROSED CLINICA DO TRABALHO DE VITORIA LTDA;48587647000198;9,0;3735,0;32479123000143-1-000003/2026
